name,phone,state,city,rooms,agoda_waste,roi_potential
Bayu Emas Apartment,60164108572,Penang,Batu Ferringhi,Unknown (Boutique),7560,10800
Grand Star Hotel Batu Ferringhi,60124910030,Penang,Batu Ferringhi,Unknown (Boutique),7560,10800
OYO 186 Sovereign Hotel,60104011393,Penang,Butterworth,Unknown (Boutique),7560,10800
Roommates Guesthouse Penang,60163848828,Penang,Butterworth,Unknown (Boutique),7560,10800
Bagan Suite Hotel,60102007280,Penang,Butterworth,Unknown (Boutique),7560,10800
HereHotel,601116171677,Johor,Johor Bahru,Unknown (Boutique),7560,10800
Euro+Hotel Skudai,60167724772,Johor,Johor Bahru,Unknown (Boutique),7560,10800
Hotel Skudai Baru,60127707112,Johor,Johor Bahru,Unknown (Boutique),7560,10800
Kingston Hotel 21 @ Jo Hotel Johor Bahru,60182074288,Johor,Johor Bahru,Unknown (Boutique),7560,10800
I-hotel Johor Bahru,60128887477,Johor,Johor Bahru,Unknown (Boutique),7560,10800
Hermess Hotel Johor,60127215603,Johor,Johor Bahru,Unknown (Boutique),7560,10800
Avantgarde Hotel,60167657665,Johor,Johor Bahru,Unknown (Boutique),7560,10800
T Hotel Johor Bahru,60167724772,Johor,Johor Bahru,Unknown (Boutique),7560,10800
Kingston Hotel 7 @ Johor Bahru,60183142288,Johor,Johor Bahru,Unknown (Boutique),7560,10800
My Capsule Hotel Malaysia,601159975030,Johor,Johor Bahru,Unknown (Boutique),7560,10800
Best Hotel,60167141357,Johor,Johor Bahru,Unknown (Boutique),7560,10800
Atelier Hotel Abiad Johor Bahru,60197088663,Johor,Johor Bahru,Unknown (Boutique),7560,10800
Atelier Hotel Johor Bahru,60199888663,Johor,Johor Bahru,Unknown (Boutique),7560,10800
Cube8teens by Nest Home,601116158738,Johor,Johor Bahru,Unknown (Boutique),7560,10800
Afiniti Legoland Service Apartments,60177138789,Johor,Iskandar Puteri,Unknown (Boutique),7560,10800
Stay @ Almas Puteri Harbour,60143463393,Johor,Iskandar Puteri,Unknown (Boutique),7560,10800
My Home Global at JB Bukit Indah Sky Breeze Apartment,60183628842,Johor,Iskandar Puteri,Unknown (Boutique),7560,10800
JB Nusajaya Legoland hse for 12p,60178891296,Johor,Iskandar Puteri,Unknown (Boutique),7560,10800
Comfort Holiday Home,60127498802,Johor,Iskandar Puteri,Unknown (Boutique),7560,10800
Millésimé Hotel Iskandar Puteri,60177900112,Johor,Iskandar Puteri,Unknown (Boutique),7560,10800
Eco Haus Garden Residential,60166948325,Johor,Iskandar Puteri,Unknown (Boutique),7560,10800
Home2u T'Castle,60167264888,Johor,Iskandar Puteri,Unknown (Boutique),7560,10800
Rental,60164399250,Johor,Iskandar Puteri,Unknown (Boutique),7560,10800
Infinity Hotel Iskandar Puteri,60199039028,Johor,Iskandar Puteri,Unknown (Boutique),7560,10800
Kingston Hotel 16 @ Legoland Johor Bahru,60186698288,Johor,Iskandar Puteri,Unknown (Boutique),7560,10800
Sunway Grid by Nest Home,601116158738,Johor,Iskandar Puteri,Unknown (Boutique),7560,10800
NB HOTEL NUSA IDAMAN,601111447664,Johor,Iskandar Puteri,Unknown (Boutique),7560,10800
Cempaka Guesthouse Batu Pahat,60125388024,Johor,Batu Pahat,Unknown (Boutique),7560,10800
Tasek Home Stay Tasek,60127543421,Johor,Batu Pahat,Unknown (Boutique),7560,10800
Tasek Home Stay Princess,60127543421,Johor,Batu Pahat,Unknown (Boutique),7560,10800
Teratak Zabha,60139998788,Johor,Batu Pahat,Unknown (Boutique),7560,10800
No Operation,60177289027,Johor,Batu Pahat,Unknown (Boutique),7560,10800
Times-In Budget Room,60167752775,Johor,Batu Pahat,Unknown (Boutique),7560,10800
28家庭民宿,60167110132,Johor,Batu Pahat,Unknown (Boutique),7560,10800
Ficca Home,60177242209,Johor,Muar,Unknown (Boutique),7560,10800
The Tree Hotel - Muar,60105125151,Johor,Muar,Unknown (Boutique),7560,10800
Super OYO 756 Muar City Hotel,60169922122,Johor,Muar,Unknown (Boutique),7560,10800
Chalet Bonda Parit Raja Muar,60126767009,Johor,Muar,Unknown (Boutique),7560,10800
Apartel Maharani Service Apartment At B-G-5 Block B Wisma 2020,60126116508,Johor,Muar,Unknown (Boutique),7560,10800
Aspire Room Muar,60102958151,Johor,Muar,Unknown (Boutique),7560,10800
REMINGTON HOTEL MUAR,60149855578,Johor,Muar,Unknown (Boutique),7560,10800
HOTEL KINGDOM MUAR,60122712401,Johor,Muar,Unknown (Boutique),7560,10800
Hotel Sahara,601165328658,Johor,Muar,Unknown (Boutique),7560,10800
RM Hotel Muar,60179609669,Johor,Muar,Unknown (Boutique),7560,10800
MILUX HOTEL,601126650415,Johor,Muar,Unknown (Boutique),7560,10800
The Grace Hotel,60175758559,Johor,Muar,Unknown (Boutique),7560,10800
