Hotel Name,State,City,Rooms,WhatsApp Number,Email,Website,ICP Score,Est. Monthly Agoda Waste (RM),Nocturn Recovery Potential (RM),Source
Hotel 28 Kuala Lumpur,Kuala Lumpur,Chow Kit,Unknown (Boutique),+601111802828,,https://my.findhotel.club/joytrip/?route=hotel&p=hotel28chowkit,2,7560,10800,Google Places
Seeds Hotel Premier Chow Kit Kuala Lumpur,Kuala Lumpur,Chow Kit,Unknown (Boutique),+601135385690,,https://seedshotel.com.my/,2,7560,10800,Google Places
LAZDANA HOTEL KUALA LUMPUR,Kuala Lumpur,Chow Kit,Unknown (Boutique),+60194731111,,,2,7560,10800,Google Places
Seeds Hotel Chow Kit Kuala Lumpur,Kuala Lumpur,Chow Kit,Unknown (Boutique),+60122890814,,https://www.seedshotel.com.my/,2,7560,10800,Google Places
M1 Hotel,Kuala Lumpur,Chow Kit,Unknown (Boutique),+60126913468,,,2,7560,10800,Google Places
Hotel 28 Rapid,Kuala Lumpur,Chow Kit,Unknown (Boutique),+601111202828,,,2,7560,10800,Google Places
Mozu Hotel Sri Hartamas,Kuala Lumpur,Mont Kiara,Unknown (Boutique),+60168224833,,,2,7560,10800,Google Places
Monkey Mansion Jalan Ipoh,Kuala Lumpur,Mont Kiara,Unknown (Boutique),+60182809744,,,2,7560,10800,Google Places
Suwara Hotel Kepong KL,Kuala Lumpur,Mont Kiara,Unknown (Boutique),+60127216391,,http://www.suwarakepong.com.my/,2,7560,10800,Google Places
KNN condominium,Kuala Lumpur,Mont Kiara,Unknown (Boutique),+601139795329,,,2,7560,10800,Google Places
Tofura Guesthouse,Kuala Lumpur,Mont Kiara,Unknown (Boutique),+60139871312,,,2,7560,10800,Google Places
MLUX Hotel,Kuala Lumpur,Mont Kiara,Unknown (Boutique),+60123333185,,http://www.mlux.my/,2,7560,10800,Google Places
OYO Rooms KLPAC,Kuala Lumpur,Mont Kiara,Unknown (Boutique),+60104011393,,,2,7560,10800,Google Places
Aston Kiara 3,Kuala Lumpur,Mont Kiara,Unknown (Boutique),+60162455833,,http://www.hr-group.com.my/property-projects/completed-projects/kiara-3-mont-kiara,2,7560,10800,Google Places
Zetter Suite Arte Mont Kiara,Kuala Lumpur,Mont Kiara,Unknown (Boutique),+60125496588,,http://www.artezettersuites.com/,2,7560,10800,Google Places
Arcoris Mont Kiara by MK HOME,Kuala Lumpur,Mont Kiara,Unknown (Boutique),+60134103153,,,2,7560,10800,Google Places
We are Closed,Selangor,Petaling Jaya,Unknown (Boutique),+60127353102,,,2,7560,10800,Google Places
Orange Business Hotel,Selangor,Petaling Jaya,Unknown (Boutique),+601158589122,,http://www.orangehotels.com.my/,2,7560,10800,Google Places
Swing & Pillows @ i-City Shah Alam (Powered by iBilik),Selangor,Shah Alam,Unknown (Boutique),+60182868288,,https://swingandpillows.com/,2,7560,10800,Google Places
Seeds Hotel Shah Alam Seksyen 7 I-City,Selangor,Shah Alam,Unknown (Boutique),+60178813439,,http://www.smilehotel.com.my/,2,7560,10800,Google Places
SALAM HOTEL & Best Hotel Shah Alam,Selangor,Shah Alam,Unknown (Boutique),+601110850015,,,2,7560,10800,Google Places
Pool Lagoon Subang,Selangor,Shah Alam,Unknown (Boutique),+60193281015,,,2,7560,10800,Google Places
Setia Convention@ Comfy Room 3,Selangor,Shah Alam,Unknown (Boutique),+60122886301,,,2,7560,10800,Google Places
Damen Subang by KL Short Stay,Selangor,Shah Alam,Unknown (Boutique),+60123993131,,,2,7560,10800,Google Places
Hotel makmur,Selangor,Shah Alam,Unknown (Boutique),+60109091544,,,2,7560,10800,Google Places
Cosy private suite 2 Room 591 Shah Alam,Selangor,Shah Alam,Unknown (Boutique),+60193460619,,https://www.airbnb.com/rooms/25926283?guests=1&adults=1&s=67&unique_share_id=99970b10-a224-40a0-b8b6-2569dd70c049,2,7560,10800,Google Places
Hotel June,Selangor,Shah Alam,Unknown (Boutique),+60122899922,,,2,7560,10800,Google Places
NORA Staycation,Selangor,Shah Alam,Unknown (Boutique),+60193830137,,,2,7560,10800,Google Places
Shafila Guesthouse,Selangor,Shah Alam,Unknown (Boutique),+60176178343,,,2,7560,10800,Google Places
Salham Guesthouse,Selangor,Shah Alam,Unknown (Boutique),+60132979113,,,2,7560,10800,Google Places
Bayou Lodge,Selangor,Shah Alam,Unknown (Boutique),+60173491955,,,2,7560,10800,Google Places
Balinese Heaven!,Selangor,Shah Alam,Unknown (Boutique),+60126651359,,,2,7560,10800,Google Places
Wonderland Private Soho at Subang Jaya,Selangor,Shah Alam,Unknown (Boutique),+60173026589,,,2,7560,10800,Google Places
Swing and Pillows @ Shah Alam,Selangor,Shah Alam,Unknown (Boutique),+60184042288,,https://swingandpillows.com/,2,7560,10800,Google Places
Smile Hotel Shah Alam Icity,Selangor,Shah Alam,Unknown (Boutique),+60177539103,,http://www.smilehotel.com.my/,2,7560,10800,Google Places
Laman Green Hotel @ Seksyen 7 | Shah Alam,Selangor,Shah Alam,Unknown (Boutique),+601159914486,,https://agent.jotform.com/019b5b5b12287b8987c791a3ce103f715902,2,7560,10800,Google Places
Green Hotel Puchong,Selangor,Subang Jaya,Unknown (Boutique),+60122196803,,http://greenhotelpuchong-bke.zoombookdirect.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=google_my_business,2,7560,10800,Google Places
"Infinity Pool KL View, PJ",Selangor,Subang Jaya,Unknown (Boutique),+60193721391,,,2,7560,10800,Google Places
Le Pavilion By Rina Properties,Selangor,Subang Jaya,Unknown (Boutique),+60122042556,,,2,7560,10800,Google Places
Sunway Geo City View by EbrelParadise EPGYB,Selangor,Subang Jaya,Unknown (Boutique),+60122868854,,,2,7560,10800,Google Places
5 Star Luxury Hostel @ Bandar Sunway,Selangor,Subang Jaya,Unknown (Boutique),+60133533496,,,2,7560,10800,Google Places
Blue Lagoon Hotel @ Bandar Sunway,Selangor,Subang Jaya,Unknown (Boutique),+60173278112,,http://www.bluelagoonhotels.com.my/,2,7560,10800,Google Places
I Go Hotel,Selangor,Subang Jaya,Unknown (Boutique),+60125408640,,,2,7560,10800,Google Places
Hotel Centum,Selangor,Klang,Unknown (Boutique),+60183128826,,https://www.facebook.com/Hotel-Centum-236922566425852/,2,7560,10800,Google Places
MKH Boulevard Apartment -Room Studio,Selangor,Klang,Unknown (Boutique),+60125624142,,,2,7560,10800,Google Places
NIDA Rooms Klang Chi Liung Mewah,Selangor,Klang,Unknown (Boutique),+60199344898,,,2,7560,10800,Google Places
클랑하우스,Selangor,Klang,Unknown (Boutique),+60102104622,,,2,7560,10800,Google Places
朴乐空间2.0 × 三十七度,Selangor,Klang,Unknown (Boutique),+60193944122,,http://www.facebook.com/purespace365,2,7560,10800,Google Places
CHILLCAMP,Selangor,Klang,Unknown (Boutique),+60128470805,,,2,7560,10800,Google Places
Aqmiha,Selangor,Klang,Unknown (Boutique),+60162250567,,,2,7560,10800,Google Places
Seeds Hotel Klang Meru,Selangor,Klang,Unknown (Boutique),+601155089481,,https://seedshotel.com.my/,2,7560,10800,Google Places
Seeds Hotel Klang Bayu Perdana,Selangor,Klang,Unknown (Boutique),+60172994126,,https://www.seedshotel.com.my/,2,7560,10800,Google Places
M S Hotel Tengku Kelana KTM Klang,Selangor,Klang,Unknown (Boutique),+60196745383,,,2,7560,10800,Google Places
HOTEL SUNJOY9 @ KLANG,Selangor,Klang,Unknown (Boutique),+60173049942,,,2,7560,10800,Google Places
BR Parklands Hotel,Selangor,Klang,Unknown (Boutique),+60138161032,,,2,7560,10800,Google Places
FREE SHUTTLE GUESTHOUSE@KLIA,Selangor,Sepang KLIA,Unknown (Boutique),+60172309168,,,2,7560,10800,Google Places
Anjung Apartment & Breakfast,Selangor,Sepang KLIA,Unknown (Boutique),+60123991041,,http://www.anjungbnbklia.blogspot.com/,2,7560,10800,Google Places
Al Safer Travel & Tour,Selangor,Sepang KLIA,Unknown (Boutique),+60177712320,,http://alsafertrip.com/,2,7560,10800,Google Places
"Kepler Club Kuala Lumpur Airport - Sleep, Shower, Lounge - KLIA T1 (Landside)",Selangor,Sepang KLIA,Unknown (Boutique),+601112421134,,http://www.keplerclub.com/,2,7560,10800,Google Places
"Kepler Club Kuala Lumpur Airport - Sleep, Shower, Lounge - Satellite Building (Airside)",Selangor,Sepang KLIA,Unknown (Boutique),+60147415950,,http://www.keplerclub.com/,2,7560,10800,Google Places
Bangau De Capsule Hotel - Downtown KLIA,Selangor,Sepang KLIA,Unknown (Boutique),+60125662271,,,2,7560,10800,Google Places
Chalet Desa Anggerik,Selangor,Sepang KLIA,Unknown (Boutique),+60123545443,,,2,7560,10800,Google Places
GLG KLIA Transit House,Selangor,Sepang KLIA,Unknown (Boutique),+60123036203,,http://www.glgtransit.com/,2,7560,10800,Google Places
"Swing & Pillows @ Sky Star KLIA1 & KLIA2, Sepang (Previously known as Sky Star Hotel)",Selangor,Sepang KLIA,Unknown (Boutique),+60139111883,,https://www.facebook.com/skystarkliaklia2,2,7560,10800,Google Places
"Swing & Pillows @ Salak Tinggi Business Park, Sepang",Selangor,Sepang KLIA,Unknown (Boutique),+60182335288,,https://swingandpillows.com/,2,7560,10800,Google Places
"M Design Hotel Klia,Sepang",Selangor,Sepang KLIA,Unknown (Boutique),+601154266113,,http://mdesignhotels.com/,2,7560,10800,Google Places
THE CROWN HOTEL @ KLIA,Selangor,Sepang KLIA,Unknown (Boutique),+60123428008,,,2,7560,10800,Google Places
"The youniQ Hotel, Kuala Lumpur International Airport",Selangor,Sepang KLIA,Unknown (Boutique),+60195144200,,http://www.theyouniqhotel.com/,2,7560,10800,Google Places
Casa Hotel KLIA 1,Selangor,Sepang KLIA,Unknown (Boutique),+60102100844,,https://www.facebook.com/casahotelklia1/,2,7560,10800,Google Places
Museum Hotel,Penang,George Town,Unknown (Boutique),+601188881601,,https://museumhotel.my/,2,7560,10800,Google Places
Day & Night Guesthouse,Penang,George Town,Unknown (Boutique),+60164457208,,https://m.facebook.com/DayNightGuesthouse/,2,7560,10800,Google Places
322 Chulia,Penang,George Town,Unknown (Boutique),+60123295597,,,2,7560,10800,Google Places
House of Journey Hostel & Guesthouse,Penang,George Town,Unknown (Boutique),+60124401399,,https://www.hostelworld.com/st/hostels/p/81877/house-of-journey/,2,7560,10800,Google Places
HomeAway Townhouse,Penang,George Town,Unknown (Boutique),+60134898628,,,2,7560,10800,Google Places
Armenian Suite,Penang,George Town,Unknown (Boutique),+60122993118,,http://www.armeniansuite.com,2,7560,10800,Google Places
Apple 1 Hotel Gurney,Penang,George Town,Unknown (Boutique),+60192332660,,https://www.sleephotel.com.my/our-hotels/apple-1-hotel-gurney,2,7560,10800,Google Places
Chulia Mansion Hotel,Penang,George Town,Unknown (Boutique),+601131477511,,https://qanova.com.my/hotel/,2,7560,10800,Google Places
Moon Hotel Penang,Penang,George Town,Unknown (Boutique),+601126436995,,,2,7560,10800,Google Places
Forum Hotel Penang 富伦酒店,Penang,George Town,Unknown (Boutique),+601135857296,,,2,7560,10800,Google Places
"Fifth Avenue Hotel, Penang",Penang,George Town,Unknown (Boutique),+601127399843,,https://fifthavenuepenang.com/,2,7560,10800,Google Places
Jean CleanComfy Apt Near Beach,Penang,Batu Ferringhi,Unknown (Boutique),+60164108572,,,2,7560,10800,Google Places
Penang Tg. Bungah Apt. Stay,Penang,Batu Ferringhi,Unknown (Boutique),+60149091070,,https://sites.google.com/view/rnd-penang-lodging/PR,2,7560,10800,Google Places
An Urban Leisure Hub,Penang,Batu Ferringhi,Unknown (Boutique),+60163227771,,,2,7560,10800,Google Places
Batu Ferringhi Delight Apartment,Penang,Batu Ferringhi,Unknown (Boutique),+60122994932,,,2,7560,10800,Google Places
Serene Dream Home by Vhost,Penang,Batu Ferringhi,Unknown (Boutique),+60164261465,,,2,7560,10800,Google Places
Gurney Couple stay GVP2,Penang,Batu Ferringhi,Unknown (Boutique),+60122003527,,,2,7560,10800,Google Places
Little Cottage,Penang,Batu Ferringhi,Unknown (Boutique),+60174716608,,,2,7560,10800,Google Places
OYO 299 Station Budget Hotel,Penang,Batu Ferringhi,Unknown (Boutique),+60104011393,,https://www.oyorooms.com/my/hotels-in-Batu%20Ferringhi/?utm_source=Google_gmb_so_MY&utm_medium=Organic&utm_campaign=MY_GTN022&locale=en,2,7560,10800,Google Places
Love All Serve All @ Batu Ferringhi,Penang,Batu Ferringhi,Unknown (Boutique),+60164939215,,,2,7560,10800,Google Places
CC's Beach House,Penang,Batu Ferringhi,Unknown (Boutique),+60164561895,,,2,7560,10800,Google Places
L Ferringhi Hotel,Penang,Batu Ferringhi,Unknown (Boutique),+60163891898,,,2,7560,10800,Google Places
Seaview@Voyage De'cassa,Penang,Batu Ferringhi,Unknown (Boutique),+60122436376,,,2,7560,10800,Google Places
Shamrock Beach 21,Penang,Batu Ferringhi,Unknown (Boutique),+60124887705,,,2,7560,10800,Google Places
Cozy SOHO Near Gurney,Penang,Batu Ferringhi,Unknown (Boutique),+60124950877,,,2,7560,10800,Google Places
ARIA GURNEY @ The Landmark,Penang,Batu Ferringhi,Unknown (Boutique),+60108851228,,,2,7560,10800,Google Places
Small Boss Hotel,Penang,Batu Ferringhi,Unknown (Boutique),+60164599412,,,2,7560,10800,Google Places
LA Ferringhi Home,Penang,Batu Ferringhi,Unknown (Boutique),+60172326860,,https://m.facebook.com/laferringhihome/,2,7560,10800,Google Places
Delima Apartment,Penang,Batu Ferringhi,Unknown (Boutique),+60175549681,,,2,7560,10800,Google Places
Bayu Emas Apartment,Penang,Batu Ferringhi,Unknown (Boutique),+60164108572,,,2,7560,10800,Google Places
Grand Star Hotel Batu Ferringhi,Penang,Batu Ferringhi,Unknown (Boutique),+60124910030,,https://adroit-onion-k4xh1s.mystrikingly.com/,2,7560,10800,Google Places
OYO 186 Sovereign Hotel,Penang,Butterworth,Unknown (Boutique),+60104011393,,https://www.oyorooms.com/hotels-in-George%20Town/?utm_source=Google_gmb_so&utm_medium=Organic&utm_campaign=MY_GTN004&filters[city_id]=1474,2,7560,10800,Google Places
Roommates Guesthouse Penang,Penang,Butterworth,Unknown (Boutique),+60163848828,,,2,7560,10800,Google Places
Bagan Suite Hotel,Penang,Butterworth,Unknown (Boutique),+60102007280,,https://bagansuite.com/,2,7560,10800,Google Places
HereHotel,Johor,Johor Bahru,Unknown (Boutique),+601116171677,,http://herehotel.com/,2,7560,10800,Google Places
Euro+Hotel Skudai,Johor,Johor Bahru,Unknown (Boutique),+60167724772,,https://m.facebook.com/EuroPlusHotel/,2,7560,10800,Google Places
Hotel Skudai Baru,Johor,Johor Bahru,Unknown (Boutique),+60127707112,,https://m.facebook.com/pages/category/Hotel/Hotel-Skudai-Baru-332158983919461/,2,7560,10800,Google Places
Kingston Hotel 21 @ Jo Hotel Johor Bahru,Johor,Johor Bahru,Unknown (Boutique),+60182074288,,https://www.kingstonhotels.com.my/,2,7560,10800,Google Places
I-hotel Johor Bahru,Johor,Johor Bahru,Unknown (Boutique),+60128887477,,http://www.i-hotel.com.my/,2,7560,10800,Google Places
Hermess Hotel Johor,Johor,Johor Bahru,Unknown (Boutique),+60127215603,,,2,7560,10800,Google Places
Avantgarde Hotel,Johor,Johor Bahru,Unknown (Boutique),+60167657665,,http://www.avantgardehotel.com.my/,2,7560,10800,Google Places
T Hotel Johor Bahru,Johor,Johor Bahru,Unknown (Boutique),+60167724772,,,2,7560,10800,Google Places
Kingston Hotel 7 @ Johor Bahru,Johor,Johor Bahru,Unknown (Boutique),+60183142288,,,2,7560,10800,Google Places
My Capsule Hotel Malaysia,Johor,Johor Bahru,Unknown (Boutique),+601159975030,,,2,7560,10800,Google Places
Best Hotel,Johor,Johor Bahru,Unknown (Boutique),+60167141357,,http://www.mybesthotel.com.my/,2,7560,10800,Google Places
Atelier Hotel Abiad Johor Bahru,Johor,Johor Bahru,Unknown (Boutique),+60197088663,,,2,7560,10800,Google Places
Atelier Hotel Johor Bahru,Johor,Johor Bahru,Unknown (Boutique),+60199888663,,http://atelierhotel.com.my/,2,7560,10800,Google Places
Cube8teens by Nest Home,Johor,Johor Bahru,Unknown (Boutique),+601116158738,,https://nesthomemy.com/,2,7560,10800,Google Places
Afiniti Legoland Service Apartments,Johor,Iskandar Puteri,Unknown (Boutique),+60177138789,,,2,7560,10800,Google Places
Stay @ Almas Puteri Harbour,Johor,Iskandar Puteri,Unknown (Boutique),+60143463393,,,2,7560,10800,Google Places
My Home Global at JB Bukit Indah Sky Breeze Apartment,Johor,Iskandar Puteri,Unknown (Boutique),+60183628842,,,2,7560,10800,Google Places
JB Nusajaya Legoland hse for 12p,Johor,Iskandar Puteri,Unknown (Boutique),+60178891296,,,2,7560,10800,Google Places
Comfort Holiday Home,Johor,Iskandar Puteri,Unknown (Boutique),+60127498802,,http://www.facebook.com/profile.php?id=100011443032916,2,7560,10800,Google Places
Millésimé Hotel Iskandar Puteri,Johor,Iskandar Puteri,Unknown (Boutique),+60177900112,,https://www.millesimehotels.com/,2,7560,10800,Google Places
Eco Haus Garden Residential,Johor,Iskandar Puteri,Unknown (Boutique),+60166948325,,http://fb.me/ecohaus61,2,7560,10800,Google Places
Home2u T'Castle,Johor,Iskandar Puteri,Unknown (Boutique),+60167264888,,,2,7560,10800,Google Places
Rental,Johor,Iskandar Puteri,Unknown (Boutique),+60164399250,,,2,7560,10800,Google Places
Infinity Hotel Iskandar Puteri,Johor,Iskandar Puteri,Unknown (Boutique),+60199039028,,https://www.facebook.com/profile.php?id=61559892194577&mibextid=LQQJ4d,2,7560,10800,Google Places
Kingston Hotel 16 @ Legoland Johor Bahru,Johor,Iskandar Puteri,Unknown (Boutique),+60186698288,,,2,7560,10800,Google Places
Sunway Grid by Nest Home,Johor,Iskandar Puteri,Unknown (Boutique),+601116158738,,https://nesthomemy.com/,2,7560,10800,Google Places
NB HOTEL NUSA IDAMAN,Johor,Iskandar Puteri,Unknown (Boutique),+601111447664,,,2,7560,10800,Google Places
Cempaka Guesthouse Batu Pahat,Johor,Batu Pahat,Unknown (Boutique),+60125388024,,http://cempakaguesthouse.wordpress.com/,2,7560,10800,Google Places
Tasek Home Stay Tasek,Johor,Batu Pahat,Unknown (Boutique),+60127543421,,https://www.facebook.com/tasekhomestaybp,2,7560,10800,Google Places
Tasek Home Stay Princess,Johor,Batu Pahat,Unknown (Boutique),+60127543421,,https://www.facebook.com/tasekhomestaybp,2,7560,10800,Google Places
Teratak Zabha,Johor,Batu Pahat,Unknown (Boutique),+60139998788,,http://bob.my/,2,7560,10800,Google Places
No Operation,Johor,Batu Pahat,Unknown (Boutique),+60177289027,,http://www.facebook.com/bphomestay,2,7560,10800,Google Places
Times-In Budget Room,Johor,Batu Pahat,Unknown (Boutique),+60167752775,,,2,7560,10800,Google Places
28家庭民宿,Johor,Batu Pahat,Unknown (Boutique),+60167110132,,,2,7560,10800,Google Places
Ficca Home,Johor,Muar,Unknown (Boutique),+60177242209,,https://www.facebook.com/pages/Ficca-Home/662471227177732,2,7560,10800,Google Places
The Tree Hotel - Muar,Johor,Muar,Unknown (Boutique),+60105125151,,,2,7560,10800,Google Places
Super OYO 756 Muar City Hotel,Johor,Muar,Unknown (Boutique),+60169922122,,https://www.oyorooms.com/MY/50581/?utm_source=GMB_MY&utm_medium=Organic&utm_campaign=MY_JHR053&latitude=2.079191&longitude=102.564509&locale=en,2,7560,10800,Google Places
Chalet Bonda Parit Raja Muar,Johor,Muar,Unknown (Boutique),+60126767009,,https://www.facebook.com/ChaletBonda,2,7560,10800,Google Places
Apartel Maharani Service Apartment At B-G-5 Block B Wisma 2020,Johor,Muar,Unknown (Boutique),+60126116508,,,2,7560,10800,Google Places
Aspire Room Muar,Johor,Muar,Unknown (Boutique),+60102958151,,,2,7560,10800,Google Places
REMINGTON HOTEL MUAR,Johor,Muar,Unknown (Boutique),+60149855578,,http://www.remingtonhotel.com.my/,2,7560,10800,Google Places
HOTEL KINGDOM MUAR,Johor,Muar,Unknown (Boutique),+60122712401,,,2,7560,10800,Google Places
Hotel Sahara,Johor,Muar,Unknown (Boutique),+601165328658,,,2,7560,10800,Google Places
RM Hotel Muar,Johor,Muar,Unknown (Boutique),+60179609669,,http://rmhotel.zoombookdirect.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=google_my_business,2,7560,10800,Google Places
MILUX HOTEL,Johor,Muar,Unknown (Boutique),+601126650415,,https://www.booking.com/Share-MIuf3yl,2,7560,10800,Google Places
The Grace Hotel,Johor,Muar,Unknown (Boutique),+60175758559,,https://www.facebook.com/thegracehotelmy/,2,7560,10800,Google Places
